apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['design.codeux.authpass.fdroid_164', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [152, 135, 1, 16]), [3, 0, 1], [0, 0]]
['be.casperverswijvelt.unifiedinternetqs_3010001', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['com.android.keepass_215', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([7, 3, 4], [36, 36, 0, 0]), [2, 2, 2], [0, 0]]
['co.loubo.icicle_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['me.lucky.sentry_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.craftxbox.yubiclip.xor_10003', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.password.monitor_102', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.codedead.deadhash_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.xinto.mauth_90', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([13, 5, 8], [89, 68, 0, 21]), [3, 2, 1], [0, 0]]
['net.typeblog.shelter_445', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.daemon.ssh_39', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.standardnotes_3003130', 1, [1, 1, 1, 1, 1, 0, 0, 0], 0, ([301, 167, 134], [719, 585, 0, 134]), [51, 2, 20], [0, 0]]
['org.nick.cryptfs.passwdmanager_1260', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.integralblue.callerid_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.ivanovsky.passnotes_11100', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.i2p.android.router_4745289', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([9, 9, 0], [18, 17, 0, 1]), [0, 0, 0], [0, 0]]
['name.seguri.android.isphoneencrypted_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.secuso.privacyfriendlypasswordgenerator_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.example.openpass_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.vecturagames.android.app.passwordmaster_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.amnesica.kryptey_24', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([301, 301, 0], [866, 807, 0, 59]), [1, 1, 0], [0, 0]]
['org.onionshare.android.fdroid_214', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([153, 153, 0], [374, 366, 0, 8]), [3, 0, 0], [0, 0]]
['org.openobservatory.ooniprobe_124', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([128, 31, 97], [199, 160, 0, 39]), [1, 1, 0], [0, 0]]
['com.tananaev.passportreader_20', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([6, 6, 0], [31, 31, 0, 0]), [1, 1, 1], [0, 0]]
['org.freenetproject.mobile_308', 1, [1, 1, 0, 1, 1, 0, 0, 1], 0, ([97, 89, 8], [401, 331, 0, 70]), [1, 1, 1], [0, 0]]
['com.hegocre.nextcloudpasswords_32', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([83, 69, 14], [372, 305, 0, 67]), [4, 2, 2], [0, 0]]
['com.fr.laboussole.track_50020', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([234, 136, 98], [558, 467, 0, 91]), [19, 0, 11], [0, 0]]
['com.xBrowserSync.android_15201', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.sf.crypt.gort_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.yubico.yubioath_701024', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([46, 9, 37], [216, 179, 1, 36]), [3, 1, 1], [0, 0]]
['org.eu.exodus_privacy.exodusprivacy_23', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [1, 1, 0], [0, 0]]
['ro.ioanm.fissh_60', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([62, 7, 55], [140, 135, 0, 5]), [1, 0, 1], [0, 0]]
['de.jepfa.yapm_200004', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([256, 256, 0], [722, 687, 0, 35]), [0, 0, 0], [0, 0]]
