apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.open_usos_1', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([196, 32, 164], [418, 256, 6, 156]), [2, 0, 1], [0, 0]]
['com.wmstein.transektcount_420', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ch.nexuscomputing.android.osciprimeics_16', 1, [0, 0, 1, 0, 0, 0, 0, 0], 0, ([9, 7, 2], [80, 71, 0, 9]), [6, 5, 0], [0, 0]]
['org.noise_planet.noisecapture_59', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['hk.words.wordshk_33', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([51, 14, 37], [178, 159, 1, 18]), [7, 1, 1], [0, 0]]
['com.mkulesh.micromath.plus_324', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.vulnerabbity.geoperion_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['it.rgp.nyagua.pafcalc_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.mantz_it.rfanalyzer_1303', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.rtbishop.look4sat_314', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.thesis.yokatta_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['fr.bellev.stdatmosphere_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
