apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.schwegelbin.openbible_25', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['org.ironrabbit_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([3, 0, 3], [9, 9, 0, 0]), [0, 0, 0], [0, 0]]
['com.nilhcem.frcndict_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.concept1tech.instalate_13', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['buet.rafi.dictionary_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['nightlock.peppercarrot_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['eu.lepiller.nani_16', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gbeatty.arxiv_39', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.zephyrsoft.sdbviewer_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.scotthamilton.trollslate_30000000', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.app.openlib_12', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([184, 33, 151], [433, 278, 6, 149]), [7, 1, 1], [0, 0]]
['com.as.anagramsolver_19', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.cosmos.unreddit_22', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([168, 26, 142], [302, 142, 4, 156]), [0, 0, 0], [0, 0]]
['com.xtreak.notificationdictionary_23', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([10, 10, 0], [27, 25, 0, 2]), [2, 1, 0], [0, 0]]
['org.hlwd.bible_20250123', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.timelegend.chaka.viewer.app_157', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([573, 29, 544], [1139, 826, 0, 313]), [1, 1, 1], [0, 0]]
['com.olam_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.tughi.aggregator_299034', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['kshib.raven_2163', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [2, 0, 1], [0, 0]]
['com.example.harisont.librery_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.halftough.webcomreader_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
